
  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/
 :: Spring Boot ::        (v2.0.5.RELEASE)

2018-10-11 13:56:47.076  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : dataMove end: DataSyncConfig(srcDbName=db2-db2inst1, srcTableName=DK_CUNZHENG_DATA, tarDbName=oracle-crmai, tarTableName=DK_CUNZHENG_DATA, moveMaxCount=null)
2018-10-11 13:56:47.076  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : dataMove begin: DataSyncConfig(srcDbName=db2-db2inst1, srcTableName=DK_DATA, tarDbName=oracle-crmai, tarTableName=DK_DATA, moveMaxCount=null)
2018-10-11 13:56:47.109  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : DK_DATA delCount: 0
2018-10-11 13:56:47.131  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : DK_DATA readyCount: 0
2018-10-11 13:56:47.131  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : dataMove end: DataSyncConfig(srcDbName=db2-db2inst1, srcTableName=DK_DATA, tarDbName=oracle-crmai, tarTableName=DK_DATA, moveMaxCount=null)
2018-10-11 13:56:47.131  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : dataMove begin: DataSyncConfig(srcDbName=db2-db2inst1, srcTableName=T01_AFA_BATOPENINFO, tarDbName=oracle-crmai, tarTableName=T01_AFA_BATOPENINFO, moveMaxCount=null)
2018-10-11 13:56:47.133  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : T01_AFA_BATOPENINFO delCount: 0
2018-10-11 13:56:47.158  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : T01_AFA_BATOPENINFO readyCount: 0
2018-10-11 13:56:47.159  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : dataMove end: DataSyncConfig(srcDbName=db2-db2inst1, srcTableName=T01_AFA_BATOPENINFO, tarDbName=oracle-crmai, tarTableName=T01_AFA_BATOPENINFO, moveMaxCount=null)
2018-10-11 13:56:47.159  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : dataMove begin: DataSyncConfig(srcDbName=db2-db2inst1, srcTableName=T01_AFA_HVP_BKINFO, tarDbName=oracle-crmai, tarTableName=T01_AFA_HVP_BKINFO, moveMaxCount=null)
2018-10-11 13:56:47.173  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : T01_AFA_HVP_BKINFO delCount: 0
2018-10-11 13:56:47.213  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : T01_AFA_HVP_BKINFO readyCount: 0
2018-10-11 13:56:47.213  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : dataMove end: DataSyncConfig(srcDbName=db2-db2inst1, srcTableName=T01_AFA_HVP_BKINFO, tarDbName=oracle-crmai, tarTableName=T01_AFA_HVP_BKINFO, moveMaxCount=null)
2018-10-11 13:56:47.213  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : dataMove begin: DataSyncConfig(srcDbName=db2-db2inst1, srcTableName=T01_AFA_NFI_TMP_OPENEDACC, tarDbName=oracle-crmai, tarTableName=T01_AFA_NFI_TMP_OPENEDACC, moveMaxCount=null)
2018-10-11 13:56:47.215  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : T01_AFA_NFI_TMP_OPENEDACC delCount: 0
2018-10-11 13:56:47.242  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : T01_AFA_NFI_TMP_OPENEDACC readyCount: 0
2018-10-11 13:56:47.243  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : dataMove end: DataSyncConfig(srcDbName=db2-db2inst1, srcTableName=T01_AFA_NFI_TMP_OPENEDACC, tarDbName=oracle-crmai, tarTableName=T01_AFA_NFI_TMP_OPENEDACC, moveMaxCount=null)
2018-10-11 13:56:47.243  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : dataMove begin: DataSyncConfig(srcDbName=db2-db2inst1, srcTableName=T01_AFA_PXY_CRPINFO, tarDbName=oracle-crmai, tarTableName=T01_AFA_PXY_CRPINFO, moveMaxCount=null)
2018-10-11 13:56:47.261  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : T01_AFA_PXY_CRPINFO delCount: 0
2018-10-11 13:56:47.432  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : T01_AFA_PXY_CRPINFO readyCount: 0
2018-10-11 13:56:47.432  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : dataMove end: DataSyncConfig(srcDbName=db2-db2inst1, srcTableName=T01_AFA_PXY_CRPINFO, tarDbName=oracle-crmai, tarTableName=T01_AFA_PXY_CRPINFO, moveMaxCount=null)
2018-10-11 13:56:47.432  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : dataMove begin: DataSyncConfig(srcDbName=db2-db2inst1, srcTableName=T01_BKOP_FUSER_INFO, tarDbName=oracle-crmai, tarTableName=T01_BKOP_FUSER_INFO, moveMaxCount=null)
2018-10-11 13:56:47.451  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : T01_BKOP_FUSER_INFO delCount: 0
2018-10-11 13:56:47.527  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : T01_BKOP_FUSER_INFO readyCount: 0
2018-10-11 13:56:47.528  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : dataMove end: DataSyncConfig(srcDbName=db2-db2inst1, srcTableName=T01_BKOP_FUSER_INFO, tarDbName=oracle-crmai, tarTableName=T01_BKOP_FUSER_INFO, moveMaxCount=null)
2018-10-11 13:56:47.528  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : dataMove begin: DataSyncConfig(srcDbName=db2-db2inst1, srcTableName=T01_BKOP_FUSER_INFO_BC, tarDbName=oracle-crmai, tarTableName=T01_BKOP_FUSER_INFO_BC, moveMaxCount=null)
2018-10-11 13:56:47.546  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : T01_BKOP_FUSER_INFO_BC delCount: 0
2018-10-11 13:56:47.552  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : T01_BKOP_FUSER_INFO_BC readyCount: 0
2018-10-11 13:56:47.553  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : dataMove end: DataSyncConfig(srcDbName=db2-db2inst1, srcTableName=T01_BKOP_FUSER_INFO_BC, tarDbName=oracle-crmai, tarTableName=T01_BKOP_FUSER_INFO_BC, moveMaxCount=null)
2018-10-11 13:56:47.553  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : dataMove begin: DataSyncConfig(srcDbName=db2-db2inst1, srcTableName=T01_CBOD_CICIEADR, tarDbName=oracle-crmai, tarTableName=T01_CBOD_CICIEADR, moveMaxCount=null)
2018-10-11 13:56:47.565  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : T01_CBOD_CICIEADR delCount: 0
2018-10-11 13:56:47.603  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : T01_CBOD_CICIEADR readyCount: 0
2018-10-11 13:56:47.604  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : dataMove end: DataSyncConfig(srcDbName=db2-db2inst1, srcTableName=T01_CBOD_CICIEADR, tarDbName=oracle-crmai, tarTableName=T01_CBOD_CICIEADR, moveMaxCount=null)
2018-10-11 13:56:47.604  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : dataMove begin: DataSyncConfig(srcDbName=db2-db2inst1, srcTableName=T01_CBOD_CICIECIF, tarDbName=oracle-crmai, tarTableName=T01_CBOD_CICIECIF, moveMaxCount=null)
2018-10-11 13:56:47.606  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : T01_CBOD_CICIECIF delCount: 0
2018-10-11 13:56:47.643  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : T01_CBOD_CICIECIF readyCount: 0
2018-10-11 13:56:47.643  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : dataMove end: DataSyncConfig(srcDbName=db2-db2inst1, srcTableName=T01_CBOD_CICIECIF, tarDbName=oracle-crmai, tarTableName=T01_CBOD_CICIECIF, moveMaxCount=null)
2018-10-11 13:56:47.643  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : dataMove begin: DataSyncConfig(srcDbName=db2-db2inst1, srcTableName=T01_CBOD_CICIEUNN, tarDbName=oracle-crmai, tarTableName=T01_CBOD_CICIEUNN, moveMaxCount=null)
2018-10-11 13:56:47.659  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : T01_CBOD_CICIEUNN delCount: 0
2018-10-11 13:56:47.739  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : T01_CBOD_CICIEUNN readyCount: 0
2018-10-11 13:56:47.740  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : dataMove end: DataSyncConfig(srcDbName=db2-db2inst1, srcTableName=T01_CBOD_CICIEUNN, tarDbName=oracle-crmai, tarTableName=T01_CBOD_CICIEUNN, moveMaxCount=null)
2018-10-11 13:56:47.740  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : dataMove begin: DataSyncConfig(srcDbName=db2-db2inst1, srcTableName=T01_CBOD_CICIFADR, tarDbName=oracle-crmai, tarTableName=T01_CBOD_CICIFADR, moveMaxCount=null)
2018-10-11 13:56:47.741  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : T01_CBOD_CICIFADR delCount: 0
2018-10-11 13:56:47.767  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : T01_CBOD_CICIFADR readyCount: 0
2018-10-11 13:56:47.767  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : dataMove end: DataSyncConfig(srcDbName=db2-db2inst1, srcTableName=T01_CBOD_CICIFADR, tarDbName=oracle-crmai, tarTableName=T01_CBOD_CICIFADR, moveMaxCount=null)
2018-10-11 13:56:47.767  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : dataMove begin: DataSyncConfig(srcDbName=db2-db2inst1, srcTableName=T01_CBOD_CICIFUNN, tarDbName=oracle-crmai, tarTableName=T01_CBOD_CICIFUNN, moveMaxCount=null)
2018-10-11 13:56:47.769  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : T01_CBOD_CICIFUNN delCount: 0
2018-10-11 13:56:47.815  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : T01_CBOD_CICIFUNN readyCount: 0
2018-10-11 13:56:47.816  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : dataMove end: DataSyncConfig(srcDbName=db2-db2inst1, srcTableName=T01_CBOD_CICIFUNN, tarDbName=oracle-crmai, tarTableName=T01_CBOD_CICIFUNN, moveMaxCount=null)
2018-10-11 13:56:47.816  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : dataMove begin: DataSyncConfig(srcDbName=db2-db2inst1, srcTableName=T01_CBOD_CMBCTBCT, tarDbName=oracle-crmai, tarTableName=T01_CBOD_CMBCTBCT, moveMaxCount=null)
2018-10-11 13:56:47.836  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : T01_CBOD_CMBCTBCT delCount: 0
2018-10-11 13:56:47.879  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : T01_CBOD_CMBCTBCT readyCount: 0
2018-10-11 13:56:47.879  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : dataMove end: DataSyncConfig(srcDbName=db2-db2inst1, srcTableName=T01_CBOD_CMBCTBCT, tarDbName=oracle-crmai, tarTableName=T01_CBOD_CMBCTBCT, moveMaxCount=null)
2018-10-11 13:56:47.879  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : dataMove begin: DataSyncConfig(srcDbName=db2-db2inst1, srcTableName=T01_CBOD_CMBRHTLR, tarDbName=oracle-crmai, tarTableName=T01_CBOD_CMBRHTLR, moveMaxCount=null)
2018-10-11 13:56:47.909  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : T01_CBOD_CMBRHTLR delCount: 0
2018-10-11 13:56:47.929  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : T01_CBOD_CMBRHTLR readyCount: 0
2018-10-11 13:56:47.930  INFO 49209 --- [           main] c.h.datasync.service.DataSyncService     : dataMove end: DataSyncConfig(srcDbName=db2-db2inst1, srcTableName=T01_CBOD_CMBRHTLR, tarDbName=oracle-crmai, tarTableName=T01_CBOD_CMBRHTLR, moveMaxCount=null)
